Name,Court,Position,Biodata,DOB,City_Village_Birth,District_Birth,State_Birth,Start_Date_Appointment,End_Date_Appointment,Reason_Leaving_Appointment,Sex_Source,Sex,ID,Source_of_Recruitment,Enrollment_Year,LLB_Institutition,Other_Bachelors_Institution,Other_Bachelors_Degree,Other_Masters_Degree,Other_Masters_Institution,LLM_Institutition,PhD_Instituition,PhD_Subject,Processed_Name_For_Merges,Image,Duplicated_Jud
Mr. Justice Karuna Nand Bajpayee,Allahabad High Court,Judge,"Name Hon'ble Mr. Justice Karuna Nand Bajpayee Source Bar Date of Birth 15/12/1957 Initial Joining 12/04/2013 Joining at Allahabad 12/04/2013 Served at Allahabad Upto 14/12/2019 Enrolled as an Advocate on Dec 14, 1985. Practised mainly in criminal matters for about 27 years before courts of Sessions at Etawah and many other districts of UP. Prosecuted several sessions trials as Speciial Counsel for the State during 1991-93. Worked as Additional Government Advocate (Grade-I) in Allahabad High Court since 2004. Elevated as Additional Judge on Apr 12, 2013. Took oath as Permanent Judge on Apr 10, 2015.",15.12.1957,,,,10.04.2015,14.12.2019,,M,M,585,BAR,1985,Law(Not Given),,,,,,,,KARUNA NAND BAJPAYEE,http://www.allahabadhighcourt.in/image/judges/knbajpayee2013.jpg,
Mr. Justice Kashi Nath Pandey,Allahabad High Court,Additional Judge,"Name Hon'ble Mr. Justice Kashi Nath Pandey Source Service Date of Birth 20/12/1949 Initial Joining 13/04/2009 Joining at Allahabad 13/04/2009 Served at Allahabad Upto 19/12/2011 Appointed in P.C.S. J in the year 1975 and promoted in Higher Judicial Service in the year 1987. Promoted in the year 2005 as District & Sessions Judge. Elevated as Additional Judge on Apr 13, 2009. Took oath as permanent Judge on Dec 24, 2010.",20.12.1949,,,,13.04.2009,24.12.2010,Transfer or Promotion,M,M,541,SERVICE,,Law(Not Given),,,,,,,,KASHI NATH PANDEY,http://www.allahabadhighcourt.in/image/judges/kashinpandey.jpg,
Mr. Justice Kashi Nath Pandey,Allahabad High Court,Judge,"Name Hon'ble Mr. Justice Kashi Nath Pandey Source Service Date of Birth 20/12/1949 Initial Joining 13/04/2009 Joining at Allahabad 13/04/2009 Served at Allahabad Upto 19/12/2011 Appointed in P.C.S. J in the year 1975 and promoted in Higher Judicial Service in the year 1987. Promoted in the year 2005 as District & Sessions Judge. Elevated as Additional Judge on Apr 13, 2009. Took oath as permanent Judge on Dec 24, 2010.",20.12.1949,,,,24.12.2010,19.12.2011,,M,M,541,SERVICE,,Law(Not Given),,,,,,,,KASHI NATH PANDEY,http://www.allahabadhighcourt.in/image/judges/kashinpandey.jpg,
Mr. Justice Kawaljeet Singh Rakhra,Allahabad High Court,Judge,"Name Hon'ble Mr. Justice Kawaljeet Singh Rakhra Source Service Date of Birth 21/01/1946 Initial Joining 31/10/2002 Joining at Allahabad 31/10/2002 Served at Allahabad Upto 20/01/2008 Graduated in Science in the year 1964 from Agra University and passed LL.B. in the year 1967 from Kanpur University. Served as Dy. Secretary & Dy. L.R. in State Law Officer Office High Court Allahabad in Year 1984, as Jt. Secretary & Jt. L.R. in State Law Officer Office High Court Allahabad in Year 1988. Served as Addl. Registrar, High Court, Allahabad from Feb. 1992 to Jan. 1994 and as Registrar General at High Court Allahabad from Jul. 2002 to Oct. 2002. Appointed in P.C.S.J in the year 1970 and promoted in Higher Judicial Service in the year 1980. Posted as District & Sessions Judge in 1994. Elevated as permanent Judge on 31/10/2002.",21.01.1946,,,,31.10.2002,20.01.2008,,,M,459,SERVICE,,Kanpur University,,,,Agra University,,,,KAWALJEET SINGH RAKHRA,http://www.allahabadhighcourt.in/image/judges/ksrakhra.jpg,
Mr. Justice KEDAMBADY JAGANNATHA SHETTY,Karnataka High Court,Judge,,,,,,,,,,M,1806,,,,,,,,,,,KEDAMBADY JAGANNATHA SHETTY,https://karnatakajudiciary.kar.nic.in/Images/judges/hck_formerjudges/KEDAMBADYJAGANNATHASHETTY.jpg,
Mr. Justice Kesho Ram Passey,Punjab and Haryana High Court,Judge,,,,,,01.08.1940,26.10.1957,,,M,3467,,,,,,,,,,,KESHO RAM PASSEY,,
Mr. Justice Ketulhou Meruno,Gauhati High Court,Additional Judge,"Born on 11th March, 1951. Enrolled as an Advocate on 28th August, 1979. Practiced about 26 years in the Kohima Bench of the Gauhati High Court and other Sub-ordinate Courts in the North Eastern States. Held the post of President, Nagaland Bar Association for three consecutive terms of three years each. Served as Junior Govt. Advocate of Nagaland during 1980-1983. Also held the Office of the Central Government Standing Counsel since 1994 and thereafter appointed as Senior Central Government Standing Counsel in1997 till elevation, which is now re-designated as Assistant Solicitor General of India. Elevated as Additional Judge of the Gauhati High Court on 12th October, 2006. Became permanent Judge w.e.f. 15.07.2008. He expired on 03.12.2013.",11.03.1951,,,,12.10.2006,15.07.2008,Transfer or Promotion,,M,4513,BAR,1979,,,,,,,,,KETULHOU MERUNO,https://ghconline.gov.in/wp-content/uploads/2021/09/Ketulhou-Meruno.jpg,
Mr. Justice Ketulhou Meruno,Gauhati High Court,Judge,"Born on 11th March, 1951. Enrolled as an Advocate on 28th August, 1979. Practiced about 26 years in the Kohima Bench of the Gauhati High Court and other Sub-ordinate Courts in the North Eastern States. Held the post of President, Nagaland Bar Association for three consecutive terms of three years each. Served as Junior Govt. Advocate of Nagaland during 1980-1983. Also held the Office of the Central Government Standing Counsel since 1994 and thereafter appointed as Senior Central Government Standing Counsel in1997 till elevation, which is now re-designated as Assistant Solicitor General of India. Elevated as Additional Judge of the Gauhati High Court on 12th October, 2006. Became permanent Judge w.e.f. 15.07.2008. He expired on 03.12.2013.",11.03.1951,,,,15.07.2008,03.12.2013,Death,,M,4513,BAR,1979,,,,,,,,,KETULHOU MERUNO,https://ghconline.gov.in/wp-content/uploads/2021/09/Ketulhou-Meruno.jpg,
Mr. Justice Kh. Nobin Singh,Manipur High Court,Judge,"Born on 1st January, 1960 at Awang Sekmai Manipur. Schooling upto Class-X at Awang Sekmai. Graduated from the D.M. College, Imphal under the Gauhati University Assam. Obtained LL.B. Degree from Delhi University. Started practicing in law from 1984 in the Supreme Court of India. Passed Advocate-on-record Examination in the year 1994 as 1st person from the whole North East States except Assam, who passed the examination. Appointed as Standing Counsel for the state of Manipur in the Supreme Court of India in the year 1995 and continued the said post till 2013. Appointed as Additional Advocate General for the state of Manipur and continued to hold the post till 25.11.2014. Dealt with all types of cases mainly service matter. Elevated as a Judge of High Court of Manipur on 26th November, 2014. Date of Retirement : 31st December, 2021.",01.01.1960,Awang Sekmai,,Manipur,26.11.2014,31.12.2021,Formal Retirement,,M,2421,BAR,,"Faculty of Law, University of Delhi",Gauhati University,,,,,,,KH. NOBIN SINGH,https://hcmimphal.nic.in/images/photos/Nobin.jpg,
Mr. Justice Khem Karan,Allahabad High Court,Judge,"Click for Details Name Hon'ble Mr. Justice Khem Karan Source Service Date of Birth 01/08/1943 Initial Joining 26/03/1999 Joining at Allahabad 26/03/1999 Served at Allahabad Upto 31/07/2005 Appointed in U.P. Judicial Service on Jan 14, 1969. Promoted to Higher Judicial Services on Jun 21, 1978. Elevated as permanent Judge at Allahabad High Court on Mar 26, 1999.",01.08.1943,,,,26.03.1999,31.07.2005,,,M,428,SERVICE,,,,,,,,,,KHEM KARAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Kerala High Court,Additional Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,26.09.1985,,Transfer or Promotion,M,M,1396,SERVICE,1968,Law (not given),,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Kerala High Court,Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,26.09.1985,24.11.1997,Transfer or Promotion,M,M,1396,SERVICE,1968,Law (not given),,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Gujarat High Court,Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,24.11.1997,16.07.1998,Transfer or Promotion,M,M,1396,SERVICE,1968,Law (not given),,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,FALSE
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Gujarat High Court,Chief Justice,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,16.07.1998,08.09.1999,Transfer or Promotion,M,M,1396,SERVICE,1968,Law (not given),,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Madras High Court,Chief Justice,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,09.08.1999,08.06.2000,Transfer or Promotion,M,M,1396,SERVICE,1968,Law (not given),,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Supreme Court,Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,08.06.2000,,,M,M,1396,SERVICE,1968,Law (not given),,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Kerala High Court,Additional Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,26.09.1985,11.7.1986,Transfer or Promotion,,M,1396,SERVICE,1968,,,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Kerala High Court,Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,11.07.1986,24.11.1997,Transfer or Promotion,,M,1396,SERVICE,1968,,,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Gujarat High Court,Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,24.11.1997,16.7.1998,Transfer or Promotion,,M,1396,SERVICE,1968,,,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,TRUE
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Gujarat High Court,Chief Justice,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,16.07.1998,8.9.1999,Transfer or Promotion,,M,1396,SERVICE,1968,,,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Madras High Court,Chief Justice,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,08.09.1999,8.6.2000,Transfer or Promotion,,M,1396,SERVICE,1968,,,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Konakuppakattil Gopinathan Balakrishnan,Supreme Court,Judge,"Born on 12.5.1945. Enrolled as an Advocate before the Kerala Bar Council at Cochin on 16.3.1968. Practised both on Civil and Criminal sides at Ernakulam. Appointed as Munsif in the Kerala Judicial Service on 10.1.1973 and promoted as Assistant Sessions Judge on 23.7.1982. Posted as Deputy Registrar Judicial in the High Court at Kerala on 9.9.1983. Resigned on 28.3.1984. Appointed as Additional Judge of the Kerala High Court on 26.9.1985 and confirmed as Permanent Judge on 11.7.1986. Transferred to the High Court of Gujarat on 24.11.1997. Appointed as Chief Justice of the High Court of Gujarat on 16.7.1998. Appointed as Chief Justice of the Madras High Court on 8.9.1999. Elevated as Judge, Supreme Court of India on 8.6.2000.",12.05.1945,,,,08.06.2000,,,,M,1396,SERVICE,1968,,,,,,,,,KONAKUPPAKATTIL GOPINATHAN BALAKRISHNAN,,
Mr. Justice Krishna Chandra Agarwal,,Judge,,,,,,,,,,M,4316,,,,,,,,,,,KRISHNA CHANDRA AGARWAL,,
Mr. Justice Krishna Murari,Allahabad High Court,Additional Judge,"Name Hon'ble Mr. Justice Krishna Murari Source Bar Date of Birth 09/07/1958 Initial Joining 07/01/2004 Joining at Allahabad 07/01/2004 Served at Allahabad Upto 01/06/2018 Elevated as Additional Judge on Jan 07, 2004. Took oath as Permanent Judge on Aug 18, 2005. Transferred to Punjab & Haryana High Court on June 02, 2018 and took oath as Chief Justice of Punjab & Haryana High Court.",09.07.1956,,,,07.01.2004,18.08.2005,Transfer or Promotion,,M,481,BAR,,,,,,,,,,KRISHNA MURARI,http://www.allahabadhighcourt.in/image/judges/krishnamurari.jpg,TRUE
Mr. Justice Krishna Murari,Allahabad High Court,Judge,"Name Hon'ble Mr. Justice Krishna Murari Source Bar Date of Birth 09/07/1958 Initial Joining 07/01/2004 Joining at Allahabad 07/01/2004 Served at Allahabad Upto 01/06/2018 Elevated as Additional Judge on Jan 07, 2004. Took oath as Permanent Judge on Aug 18, 2005. Transferred to Punjab & Haryana High Court on June 02, 2018 and took oath as Chief Justice of Punjab & Haryana High Court.",09.07.1957,,,,18.08.2005,02.06.2018,Transfer or Promotion,,M,481,BAR,,,,,,,,,,KRISHNA MURARI,http://www.allahabadhighcourt.in/image/judges/krishnamurari.jpg,TRUE
Mr. Justice Krishna Murari,Punjab and Haryana High Court,Chief Justice,"Name Hon'ble Mr. Justice Krishna Murari Source Bar Date of Birth 09/07/1958 Initial Joining 07/01/2004 Joining at Allahabad 07/01/2004 Served at Allahabad Upto 01/06/2018 Elevated as Additional Judge on Jan 07, 2004. Took oath as Permanent Judge on Aug 18, 2005. Transferred to Punjab & Haryana High Court on June 02, 2018 and took oath as Chief Justice of Punjab & Haryana High Court.",09.07.1958,,,,02.06.2018,,Transfer or Promotion,,M,481,BAR,,,,,,,,,,KRISHNA MURARI,http://www.allahabadhighcourt.in/image/judges/krishnamurari.jpg,TRUE
Mr. Justice Krishna Murari,Supreme Court,Judge,"Born on July 9, 1958, His Lordship obtained LL.B degree from Allahabad University, Allahabad. He was enrolled as an Advocate on December 23, 1981. He practised in the Allahabad High Court for over 22 years in Civil, Constitutional, Company, Service and Revenue matters and has specialised in Civil Revenue and Service cases. He was Standing Counsel of U.P. State, Yarn Company Limited, Kanpur, Northern Railway Primary Co-operative Bank Limited, U.P. State Textile Corporation Limited, Kanpur, U.P. Co-operative Spinning Mills Federation Limited, Kanpur and Bundelkhand University, Jhansi. He was appointed as an Additional Judge of the Allahabad High Court on January 7, 2004 and appointed as permanent Judge of the Allahabad High Court on August 18, 2005. Took over as Chief Justice of Punjab and Haryana High Court, Chandigarh on 2nd June, 2018. Elevated as Judge of Supreme Court of India on 23rd September, 2019.",09.07.1958,,,,23.09.2019,08.07.2023,Formal Retirement,M,M,481,BAR,1981,Allahabad University,,,,,,,,KRISHNA MURARI,https://main.sci.gov.in/php/photo/krishna_murari.jpg,
Mr. Justice Krishna Murari,Allahabad High Court,Additional Judge,"Born on July 9, 1958, His Lordship obtained LL.B degree from Allahabad University, Allahabad. He was enrolled as an Advocate on December 23, 1981. He practised in the Allahabad High Court for over 22 years in Civil, Constitutional, Company, Service and Revenue matters and has specialised in Civil Revenue and Service cases. He was Standing Counsel of U.P. State, Yarn Company Limited, Kanpur, Northern Railway Primary Co-operative Bank Limited, U.P. State Textile Corporation Limited, Kanpur, U.P. Co-operative Spinning Mills Federation Limited, Kanpur and Bundelkhand University, Jhansi. He was appointed as an Additional Judge of the Allahabad High Court on January 7, 2004 and appointed as permanent Judge of the Allahabad High Court on August 18, 2005. Took over as Chief Justice of Punjab and Haryana High Court, Chandigarh on 2nd June, 2018. Elevated as Judge of Supreme Court of India on 23rd September, 2019.",09.07.1958,,,,07.01.2004,18.08.2005,Transfer or Promotion,M,M,481,BAR,1981,Allahabad University,,,,,,,,KRISHNA MURARI,https://main.sci.gov.in/php/photo/krishna_murari.jpg,FALSE
Mr. Justice Krishna Murari,Allahabad High Court,Judge,"Born on July 9, 1958, His Lordship obtained LL.B degree from Allahabad University, Allahabad. He was enrolled as an Advocate on December 23, 1981. He practised in the Allahabad High Court for over 22 years in Civil, Constitutional, Company, Service and Revenue matters and has specialised in Civil Revenue and Service cases. He was Standing Counsel of U.P. State, Yarn Company Limited, Kanpur, Northern Railway Primary Co-operative Bank Limited, U.P. State Textile Corporation Limited, Kanpur, U.P. Co-operative Spinning Mills Federation Limited, Kanpur and Bundelkhand University, Jhansi. He was appointed as an Additional Judge of the Allahabad High Court on January 7, 2004 and appointed as permanent Judge of the Allahabad High Court on August 18, 2005. Took over as Chief Justice of Punjab and Haryana High Court, Chandigarh on 2nd June, 2018. Elevated as Judge of Supreme Court of India on 23rd September, 2019.",09.07.1958,,,,18.08.2005,02.06.2018,Transfer or Promotion,M,M,481,BAR,1981,Allahabad University,,,,,,,,KRISHNA MURARI,https://main.sci.gov.in/php/photo/krishna_murari.jpg,FALSE
Mr. Justice Krishna Murari,Punjab and Haryana High Court,Chief Justice,"Born on July 9, 1958, His Lordship obtained LL.B degree from Allahabad University, Allahabad. He was enrolled as an Advocate on December 23, 1981. He practised in the Allahabad High Court for over 22 years in Civil, Constitutional, Company, Service and Revenue matters and has specialised in Civil Revenue and Service cases. He was Standing Counsel of U.P. State, Yarn Company Limited, Kanpur, Northern Railway Primary Co-operative Bank Limited, U.P. State Textile Corporation Limited, Kanpur, U.P. Co-operative Spinning Mills Federation Limited, Kanpur and Bundelkhand University, Jhansi. He was appointed as an Additional Judge of the Allahabad High Court on January 7, 2004 and appointed as permanent Judge of the Allahabad High Court on August 18, 2005. Took over as Chief Justice of Punjab and Haryana High Court, Chandigarh on 2nd June, 2018. Elevated as Judge of Supreme Court of India on 23rd September, 2019.",09.07.1958,,,,02.06.2018,23.09.2019,Transfer or Promotion,M,M,481,BAR,1981,Allahabad University,,,,,,,,KRISHNA MURARI,https://main.sci.gov.in/php/photo/krishna_murari.jpg,FALSE
Mr. Justice Krishna Murari,Punjab and Haryana High Court,Chief Justice,,,,,,02.06.2018,22.09.2019,,,M,481,,,,,,,,,,,KRISHNA MURARI,,TRUE
Mr. Justice Krishna Murari Agarwal,Madhya Pradesh High Court,Additional Judge,"Name Hon'ble Mr. Justice Krishna Murari Agarwal Date of Birth 27/10/1934. Initial Joining 14/05/1984 Joining at Sikkim 15/02/1996 Served at Sikkim Upto 27/10/1996. Duration 8 months 11 days. Born on 27th October, 1934. Enrolled Pleader in September 1960 at Raipur. Enrolled Advocate in 1962. Practised in High Court at Jabalpur since November, 1968. Appointed Additional Judge, Madhya Pradesh High Court from 14th May, 1984 and permanent Judge in that High Court from 14.5.1986. Transferred to Andhra Pradesh High Court on 28.4.1994. Appointed as Chief Justice of Sikkim High Court on 15.02.1996. Retired on 27.10.1996.",27.10.1934,,,,14.05.1984,14.05.1986,Transfer or Promotion,,M,2460,SERVICE,1962,,,,,,,,,KRISHNA MURARI AGARWAL,https://hcs.gov.in/drupal/sites/default/files/inline-images/krishna%20murti.jpg,
Mr. Justice Krishna Murari Agarwal,Madhya Pradesh High Court,Judge,"Name Hon'ble Mr. Justice Krishna Murari Agarwal Date of Birth 27/10/1934. Initial Joining 14/05/1984 Joining at Sikkim 15/02/1996 Served at Sikkim Upto 27/10/1996. Duration 8 months 11 days. Born on 27th October, 1934. Enrolled Pleader in September 1960 at Raipur. Enrolled Advocate in 1962. Practised in High Court at Jabalpur since November, 1968. Appointed Additional Judge, Madhya Pradesh High Court from 14th May, 1984 and permanent Judge in that High Court from 14.5.1986. Transferred to Andhra Pradesh High Court on 28.4.1994. Appointed as Chief Justice of Sikkim High Court on 15.02.1996. Retired on 27.10.1996.",27.10.1934,,,,14.05.1986,28.4.1994,Transfer or Promotion,,M,2460,SERVICE,1962,,,,,,,,,KRISHNA MURARI AGARWAL,https://hcs.gov.in/drupal/sites/default/files/inline-images/krishna%20murti.jpg,
Mr. Justice Krishna Murari Agarwal,,Judge,"Name Hon'ble Mr. Justice Krishna Murari Agarwal Date of Birth 27/10/1934. Initial Joining 14/05/1984 Joining at Sikkim 15/02/1996 Served at Sikkim Upto 27/10/1996. Duration 8 months 11 days. Born on 27th October, 1934. Enrolled Pleader in September 1960 at Raipur. Enrolled Advocate in 1962. Practised in High Court at Jabalpur since November, 1968. Appointed Additional Judge, Madhya Pradesh High Court from 14th May, 1984 and permanent Judge in that High Court from 14.5.1986. Transferred to Andhra Pradesh High Court on 28.4.1994. Appointed as Chief Justice of Sikkim High Court on 15.02.1996. Retired on 27.10.1996.",27.10.1934,,,,28.04.1994,28.4.1994,Transfer or Promotion,,M,2460,SERVICE,1962,,,,,,,,,KRISHNA MURARI AGARWAL,https://hcs.gov.in/drupal/sites/default/files/inline-images/krishna%20murti.jpg,
